,Order ID,Sales,Order Date
0,CA-2016-152156,731.94,2016-8-11 0:00
1,CA-2015-106320,1044.63,25-09-2015
2,CA-2016-121755,90.57,16-01-2016
3,CA-2016-169194,45,20-06-2016
4,CA-2015-135545,146.73,24-11-2015
5,CA-2017-114440,19.05,14-09-2017
6,CA-2016-127208,16.74,2016-12-6 0:00
7,CA-2016-109806,20.1,17-09-2016
8,CA-2015-149587,53.34,31-01-2015
9,CA-2015-110457,787.53,2015-2-3 0:00
10,CA-2016-103730,47.04,2016-12-6 0:00
11,US-2016-125969,238.56,2016-6-11 0:00
12,CA-2016-145583,20.04,13-10-2016
13,CA-2017-106180,8.82,18-09-2017
14,CA-2017-106180,10.86,18-09-2017
15,CA-2017-106180,143.7,18-09-2017
16,CA-2017-155376,839.43,22-12-2017
17,CA-2016-114489,149.97,2016-5-12 0:00
18,CA-2015-118948,6.63,28-05-2015
19,CA-2014-118962,20.94,2014-5-8 0:00
20,CA-2017-107720,46.26,2017-6-11 0:00
21,CA-2017-163139,20.37,2017-1-12 0:00
22,CA-2017-163139,221.55,2017-1-12 0:00
23,CA-2015-155334,5.28,30-07-2015
24,CA-2016-142545,56.91,28-10-2016
25,CA-2014-130960,9.84,30-12-2014
26,CA-2014-111003,45.48,2014-1-6 0:00
27,CA-2014-120887,87.54,27-09-2014
28,CA-2017-134306,7.56,2017-8-7 0:00
29,US-2014-135972,1799.97,21-09-2014
30,CA-2017-117933,35.91,24-12-2017
31,CA-2017-125388,32.7,19-10-2017
32,CA-2016-115756,194.94,2016-5-9 0:00
33,CA-2016-115756,70.95,2016-5-9 0:00
34,CA-2016-115756,242.94,2016-5-9 0:00
35,CA-2016-166674,59.52,2016-1-4 0:00
36,CA-2016-166674,161.94,2016-1-4 0:00
37,CA-2016-166674,30.48,2016-1-4 0:00
38,CA-2016-166674,9.84,2016-1-4 0:00
39,CA-2014-144666,340.92,2014-9-11 0:00
40,CA-2016-152632,40.2,27-10-2016
41,CA-2014-134677,9.09,2014-6-10 0:00
42,CA-2014-113362,11.07,14-09-2014
43,CA-2015-145352,8.34,16-03-2015
44,CA-2015-145352,46.74,16-03-2015
45,CA-2017-135307,126.3,26-11-2017
46,CA-2017-163405,6.63,21-12-2017
47,CA-2017-127432,51.45,22-01-2017
48,CA-2017-127432,1126.02,22-01-2017
49,US-2017-129441,47.94,2017-7-9 0:00
50,CA-2015-134894,152.94,2015-7-12 0:00
51,CA-2017-118731,42.6,20-11-2017
52,CA-2017-156951,19.44,2017-1-10 0:00
53,CA-2017-164826,14.85,28-12-2017
54,CA-2016-127250,8.82,2016-3-11 0:00
55,CA-2015-128139,294.93,2015-3-7 0:00
56,CA-2017-117947,88.02,18-08-2017
57,CA-2017-133431,13.23,17-12-2017
58,CA-2015-168004,392.94,2015-4-10 0:00
59,CA-2016-147067,18.84,18-12-2016
60,CA-2016-143308,10.74,2016-4-11 0:00
61,CA-2017-130351,61.44,2017-5-12 0:00
62,CA-2017-130351,99.39,2017-5-12 0:00
63,CA-2014-157784,479.97,2014-5-7 0:00
64,CA-2014-157784,19.44,2014-5-7 0:00
65,US-2014-117135,36.84,21-06-2014
66,CA-2016-163755,209.88,2016-4-11 0:00
67,US-2017-100048,299.97,19-05-2017
68,CA-2016-112942,146.82,13-02-2016
69,CA-2016-142335,1652.94,15-12-2016
70,CA-2016-142335,296.37,15-12-2016
71,US-2016-150861,33.63,2016-3-12 0:00
72,CA-2017-131954,242.94,21-01-2017
73,CA-2017-131954,179.97,21-01-2017
74,CA-2017-126074,58.05,2017-2-10 0:00
75,CA-2017-126046,12.39,2017-3-11 0:00
76,CA-2014-162775,50.94,13-01-2014
77,CA-2014-162775,5.64,13-01-2014
78,CA-2017-104220,207,30-01-2017
79,CA-2015-144267,59.94,21-08-2015
80,CA-2015-154921,186.69,23-05-2015
81,CA-2015-115938,332.94,26-06-2015
82,CA-2015-140921,149.97,2015-3-2 0:00
83,CA-2017-101434,239.97,20-06-2017
84,US-2014-102071,167.97,2014-9-5 0:00
85,CA-2017-129462,180.66,16-06-2017
86,CA-2015-100454,60.45,20-11-2015
87,CA-2015-114300,287.94,13-10-2015
88,CA-2016-123274,242.94,19-02-2016
89,CA-2015-131128,34.44,19-10-2015
90,CA-2016-116736,322.59,17-01-2016
91,CA-2016-116736,371.97,17-01-2016
92,CA-2016-130477,20.04,2016-8-4 0:00
93,CA-2015-111164,85.14,2015-11-4 0:00
94,CA-2015-120880,540.57,29-05-2015
95,CA-2017-135279,35.97,2017-9-4 0:00
96,CA-2017-135279,8.64,2017-9-4 0:00
97,CA-2017-135279,501.81,2017-9-4 0:00
98,CA-2015-157035,34.02,2015-9-12 0:00
99,CA-2017-167899,17.97,21-05-2017
100,CA-2016-105585,10.23,26-08-2016
101,CA-2014-117639,617.97,21-05-2014
102,CA-2015-162537,36.63,28-10-2015
103,CA-2015-124891,19.44,31-07-2015
104,CA-2015-126445,484.65,27-08-2015
105,CA-2017-118437,155.25,17-06-2017
106,CA-2015-108665,155.82,2015-6-7 0:00
107,CA-2015-124450,22.74,27-04-2015
108,CA-2015-124450,1267.53,27-04-2015
109,CA-2014-163552,197.97,2014-11-7 0:00
110,CA-2014-163552,854.94,2014-11-7 0:00
111,CA-2017-132521,31.44,23-09-2017
112,CA-2016-107216,8.73,14-06-2016
113,CA-2016-107216,8.64,14-06-2016
114,CA-2016-112340,22.92,21-10-2016
115,US-2014-147627,6.63,20-01-2014
116,US-2014-147627,23.34,20-01-2014
117,US-2014-147627,1067.94,20-01-2014
118,US-2016-114776,19.44,2016-6-12 0:00
119,CA-2014-136567,62.31,20-12-2014
120,CA-2017-147039,362.94,29-06-2017
121,CA-2014-126522,53.94,2014-1-9 0:00
122,CA-2017-145226,272.94,2017-8-12 0:00
123,CA-2017-145226,19.44,2017-8-12 0:00
124,CA-2016-161207,27.93,29-08-2016
125,CA-2016-113621,179.97,2016-1-12 0:00
126,CA-2016-126004,113.79,2016-4-12 0:00
127,CA-2016-126004,182.94,2016-4-12 0:00
128,CA-2017-110380,6.57,2017-2-9 0:00
129,CA-2014-163293,32.97,2014-8-9 0:00
130,CA-2016-160815,278.4,2016-5-9 0:00
131,CA-2015-124268,15.48,2015-4-7 0:00
132,CA-2016-154711,20.82,22-11-2016
133,CA-2015-101707,32.94,27-08-2015
134,CA-2016-137043,286.38,23-12-2016
135,US-2017-126179,287.97,2017-3-7 0:00
136,CA-2016-141397,161.94,20-06-2016
137,CA-2014-107153,46.26,28-09-2014
138,CA-2016-142762,37.05,23-05-2016
139,US-2017-123281,25.11,2017-2-4 0:00
140,CA-2017-100524,677.58,31-03-2017
141,CA-2015-131758,47.82,28-05-2015
142,CA-2017-162978,17.61,2017-4-5 0:00
143,CA-2016-145247,79.14,2016-5-5 0:00
144,CA-2017-136672,49.08,2017-7-3 0:00
145,CA-2014-126361,1089.75,2014-4-8 0:00
146,US-2016-108504,18.84,2016-5-2 0:00
147,US-2016-108504,104.85,2016-5-2 0:00
148,US-2016-108504,484.83,2016-5-2 0:00
149,US-2016-108504,122.97,2016-5-2 0:00
150,US-2016-108504,154.44,2016-5-2 0:00
151,CA-2016-159212,251.79,2016-1-11 0:00
152,CA-2017-115994,239.97,28-01-2017
153,CA-2017-115994,37.74,28-01-2017
154,CA-2016-133711,91.68,26-11-2016
155,CA-2017-148474,91.2,2017-12-6 0:00
156,CA-2017-148474,452.94,2017-12-6 0:00
157,CA-2017-139199,872.94,2017-9-12 0:00
158,CA-2017-164959,8.67,2017-11-7 0:00
159,US-2016-108455,33.87,2016-2-12 0:00
160,US-2016-108098,177,14-10-2016
161,CA-2015-140410,89.97,2015-3-11 0:00
162,CA-2015-140410,42.6,2015-3-11 0:00
163,CA-2014-123925,40.05,17-12-2014
164,CA-2017-108294,34.5,2017-10-12 0:00
165,CA-2016-112389,40.74,29-10-2016
166,CA-2016-112389,11.67,29-10-2016
167,CA-2017-121888,782.94,15-09-2017
168,CA-2015-111507,5.28,2015-6-2 0:00
169,US-2017-152002,122.97,2017-11-6 0:00
170,CA-2017-165029,12.84,26-11-2017
171,US-2014-157385,21.84,23-11-2014
172,CA-2016-102456,170.88,27-02-2016
173,CA-2015-131338,47.04,2015-9-8 0:00
174,CA-2015-131338,143.7,2015-9-8 0:00
175,CA-2015-131338,10.65,2015-9-8 0:00
176,CA-2014-117317,13.44,19-10-2014
177,US-2016-115819,5.46,19-04-2016
178,CA-2015-130022,29.79,2015-10-8 0:00
179,CA-2015-157084,1265.85,19-12-2015
180,CA-2016-157266,19.44,26-05-2016
181,CA-2016-157266,41.37,26-05-2016
182,CA-2015-111829,1247.64,19-03-2015
183,US-2017-132444,95.94,18-11-2017
184,CA-2016-122728,104.28,18-05-2016
185,CA-2016-122728,17.94,18-05-2016
186,CA-2016-147585,14.82,2016-7-11 0:00
187,CA-2015-156335,14.46,25-09-2015
188,CA-2016-106894,7.83,2016-7-2 0:00
189,CA-2015-130204,31.44,2015-3-9 0:00
190,CA-2016-124667,59.97,2016-11-11 0:00
191,CA-2015-111094,122.94,2015-9-7 0:00
192,CA-2017-166317,86.97,22-09-2017
193,CA-2015-154326,134.97,15-02-2015
194,CA-2016-140774,107.94,2016-5-9 0:00
195,US-2017-139465,347.97,27-08-2017
196,US-2017-113852,90.57,29-07-2017
197,CA-2014-114643,14.52,13-06-2014
198,CA-2015-109512,29.34,2015-5-3 0:00
199,CA-2016-147578,31.56,22-04-2016
200,US-2017-108063,34.65,2017-2-12 0:00
201,CA-2016-105963,99.39,15-11-2016
202,CA-2017-126865,92.94,2017-5-12 0:00
203,CA-2017-161200,145.74,2017-6-8 0:00
204,CA-2015-141768,14.73,25-05-2015
205,CA-2017-157987,197.97,2017-2-9 0:00
206,CA-2017-157987,4.92,2017-2-9 0:00
207,CA-2017-157987,167.97,2017-2-9 0:00
208,CA-2017-110905,16.2,2017-10-9 0:00
209,CA-2017-110905,33.99,2017-10-9 0:00
210,CA-2017-110905,13.71,2017-10-9 0:00
211,CA-2017-110905,286.29,2017-10-9 0:00
212,CA-2017-165841,281.97,21-12-2017
213,CA-2017-165841,166.44,21-12-2017
214,CA-2014-110408,275.97,18-10-2014
215,CA-2014-164721,23.88,25-11-2014
216,CA-2015-127509,17.22,2015-9-11 0:00
217,CA-2015-127509,26.22,2015-9-11 0:00
218,CA-2015-127509,17.34,2015-9-11 0:00
219,CA-2017-163510,95.94,25-12-2017
220,CA-2016-168354,17.04,19-09-2016
221,CA-2016-168354,49.53,19-09-2016
222,CA-2015-117961,14.73,26-11-2015
223,CA-2015-117961,10.95,26-11-2015
224,CA-2017-162481,269.97,25-09-2017
225,CA-2015-119214,29.04,23-01-2015
226,CA-2016-131835,597,17-07-2016
227,CA-2016-136434,17.31,2016-1-12 0:00
228,CA-2014-106439,11.34,31-10-2014
229,CA-2014-106439,12.39,31-10-2014
230,CA-2017-122504,59.97,2017-7-11 0:00
231,CA-2014-131051,58.2,2014-1-12 0:00
232,CA-2016-140501,146.73,23-06-2016
233,CA-2017-166142,26.55,15-07-2017
